name,id,search_pattern
Patty Hajdu,88984,patty-hajdu(88984)
Jasraj Singh Hallan,105630,jasraj-singh-hallan(105630)
Brendan Hanley,111109,brendan-hanley(111109)
Ken Hardie,89274,ken-hardie(89274)
Lisa Hepfner,110446,lisa-hepfner(110446)
Randy Hoback,59148,randy-hoback(59148)
Mark Holland,25508,mark-holland(25508)
Anthony Housefather,88558,anthony-housefather(88558)
Carol Hughes,31289,carol-hughes(31289)
Ahmed Hussen,89020,ahmed-hussen(89020)
Gudie Hutchings,88292,gudie-hutchings(88292)
Angelo Iacono,71337,angelo-iacono(71337)
Lori Idlout,111116,lori-idlout(111116)
Marci Ien,107097,marci-ien(107097)
Helena Jaczek,105229,helena-jaczek(105229)
Matt Jeneroux,89167,matt-jeneroux(89167)
Jamil Jivani,118689,jamil-jivani(118689)
Gord Johns,89263,gord-johns(89263)
Melanie Joly,88384,melanie-joly(88384)
Yvonne Jones,13218,yvonne-jones(13218)
Majid Jowhari,88929,majid-jowhari(88929)
Peter Julian,16399,peter-julian(16399)
Arielle Kayabaga,110502,arielle-kayabaga(110502)
Mike Kelloway,104531,mike-kelloway(104531)
Pat Kelly,89130,pat-kelly(89130)
Iqra Khalid,88849,iqra-khalid(88849)
Arpan Khanna,105052,arpan-khanna(105052)
Kamal Khera,88705,kamal-khera(88705)
Robert Kitchen,89095,robert-kitchen(89095)
Tom Kmiec,89136,tom-kmiec(89136)
Annie Koutrakis,105009,annie-koutrakis(105009)
Michael Kram,89080,michael-kram(89080)
Shelby Kramp Neuman,110454,shelby-kramp-neuman(110454)
Damien C Kurek,105614,damien-c-kurek(105614)
Stephanie Kusie,96367,stephanie-kusie(96367)
Irek Kusmierczyk,71820,irek-kusmierczyk(71820)
Jenny Kwan,89346,jenny-kwan(89346)
Mike Lake,35857,mike-lake(35857)
Marie France Lalonde,92209,marie-france-lalonde(92209)
Emmanuella Lambropoulos,96350,emmanuella-lambropoulos(96350)
Kevin Lamoureux,30552,kevin-lamoureux(30552)
Melissa Lantsman,110665,melissa-lantsman(110665)
Viviane Lapointe,110663,viviane-lapointe(110663)
Andreanne Larouche,104973,andreanne-larouche(104973)
Patricia Lattanzio,104957,patricia-lattanzio(104957)
Stephane Lauzon,88394,stephane-lauzon(88394)
Philip Lawrence,105291,philip-lawrence(105291)
Dominic Leblanc,1813,dominic-leblanc(1813)
Diane Lebouthillier,88460,diane-lebouthillier(88460)
Richard Lehoux,104653,richard-lehoux(104653)
Sebastien Lemire,104630,sebastien-lemire(104630)
Branden Leslie,108395,branden-leslie(108395)
Chris Lewis,105120,chris-lewis(105120)
Leslyn Lewis,88958,leslyn-lewis(88958)
Ron Liepert,89139,ron-liepert(89139)
Joel Lightbound,88532,joel-lightbound(88532)
Dane Lloyd,98079,dane-lloyd(98079)
Ben Lobb,35600,ben-lobb(35600)
Wayne Long,88368,wayne-long(88368)
Lloyd Longfield,88761,lloyd-longfield(88761)
Tim Louis,88810,tim-louis(88810)
Lawrence Macaulay,33,lawrence-macaulay(33)
Heath Macdonald,109891,heath-macdonald(109891)
Alistair Macgregor,89269,alistair-macgregor(89269)
Steven Mackinnon,88468,steven-mackinnon(88468)
Larry Maguire,7251,larry-maguire(7251)
Shuvaloy Majumdar,116022,shuvaloy-majumdar(116022)
James Maloney,88748,james-maloney(88748)
Richard Martel,100521,richard-martel(100521)
Soraya Martinez Ferrada,104756,soraya-martinez-ferrada(104756)
Brian Masse,9137,brian-masse(9137)
Lindsay Mathyssen,105221,lindsay-mathyssen(105221)
Bryan May,71599,bryan-may(71599)
Elizabeth May,2897,elizabeth-may(2897)
Dan Mazier,3306,dan-mazier(3306)
Kelly Mccauley,89179,kelly-mccauley(89179)
Ken Mcdonald,88283,ken-mcdonald(88283)
David J Mcguinty,9486,david-j-mcguinty(9486)
John Mckay,957,john-mckay(957)
Ron Mckinnon,59293,ron-mckinnon(59293)
Greg Mclean,105623,greg-mclean(105623)
Michael V Mcleod,89374,michael-v-mcleod(89374)
Heather Mcpherson,105689,heather-mcpherson(105689)
Eric Melillo,105186,eric-melillo(105186)
Alexandra Mendes,58621,alexandra-mendes(58621)
Marco Mendicino,88738,marco-mendicino(88738)
Wilson Miao,111048,wilson-miao(111048)
Kristina Michaud,104648,kristina-michaud(104648)
Marc Miller,88660,marc-miller(88660)
Rob Moore,17210,rob-moore(17210)
Marty Morantz,105511,marty-morantz(105511)
Mike Morrice,110476,mike-morrice(110476)
Rob Morrison,105807,rob-morrison(105807)
Robert J Morrissey,88308,robert-j-morrissey(88308)
Glen Motz,94305,glen-motz(94305)
Joyce Murray,35950,joyce-murray(35950)
Dan Muys,110415,dan-muys(110415)
Yasir Naqvi,110572,yasir-naqvi(110572)
John Nater,88917,john-nater(88917)
Mary Ng,96352,mary-ng(96352)
Taleeb Noormohamed,72023,taleeb-noormohamed(72023)
Christine Normandin,104947,christine-normandin(104947)
Jennifer Oconnell,88925,jennifer-oconnell(88925)
Seamus Oregan,88299,seamus-oregan(88299)
Robert Oliphant,58858,robert-oliphant(58858)
Jeremy Patzer,105559,jeremy-patzer(105559)
Pierre Paul Hus,71454,pierre-paul-hus(71454)
Monique Pauze,88595,monique-pauze(88595)
Rick Perkins,109922,rick-perkins(109922)
Yves Perron,88418,yves-perron(88418)
Ginette Petitpas Taylor,88364,ginette-petitpas-taylor(88364)
Louis Plamondon,413,louis-plamondon(413)
Pierre Poilievre,25524,pierre-poilievre(25524)
Marcus Powlowski,105437,marcus-powlowski(105437)
Carla Qualtrough,89272,carla-qualtrough(89272)
Alain Rayes,88600,alain-rayes(88600)
Brad Redekopp,105598,brad-redekopp(105598)
Scott Reid,1827,scott-reid(1827)
Michelle Rempel Garner,71902,michelle-rempel-garner(71902)
Blake Richards,59235,blake-richards(59235)
Anna Roberts,105191,anna-roberts(105191)
Yves Robillard,88617,yves-robillard(88617)
Pablo Rodriguez,25451,pablo-rodriguez(25451)
Churence Rogers,98744,churence-rogers(98744)
Sherry Romanado,88521,sherry-romanado(88521)
Lianne Rood,105210,lianne-rood(105210)
Anthony Rota,25452,anthony-rota(25452)
Alex Ruff,105070,alex-ruff(105070)
Ruby Sahota,88698,ruby-sahota(88698)
Harjit S Sajjan,89497,harjit-s-sajjan(89497)
Yaara Saks,107099,yaara-saks(107099)
Darrell Samson,88333,darrell-samson(88333)
Randeep Sarai,89339,randeep-sarai(89339)
Louis Philippe Sauve,120060,louis-philippe-sauve(120060)
Simon Pierre Savard Tremblay,104944,simon-pierre-savard-tremblay(104944)
Francis Scarpaleggia,25453,francis-scarpaleggia(25453)
Andrew Scheer,25454,andrew-scheer(25454)
Peter Schiefke,88649,peter-schiefke(88649)
Jamie Schmale,88770,jamie-schmale(88770)
Kyle Seeback,58841,kyle-seeback(58841)
Marc G Serre,88874,marc-g-serre(88874)
Judy A Sgro,1787,judy-a-sgro(1787)
Brenda Shanahan,88442,brenda-shanahan(88442)
Terry Sheehan,88944,terry-sheehan(88944)
Martin Shields,89109,martin-shields(89109)
Doug Shipley,105031,doug-shipley(105031)
Maninder Sidhu,105045,maninder-sidhu(105045)
Sonia Sidhu,88703,sonia-sidhu(88703)
Mario Simard,104773,mario-simard(104773)
Nathalie Sinclair Desgagne,110300,nathalie-sinclair-desgagne(110300)
Jagmeet Singh,71588,jagmeet-singh(71588)
Clifford Small,109867,clifford-small(109867)
Francesco Sorbara,88999,francesco-sorbara(88999)
Gerald Soroka,105751,gerald-soroka(105751)
Charles Sousa,114349,charles-sousa(114349)
Pascale St Onge,110044,pascale-st-onge(110044)
Gabriel Ste Marie,88485,gabriel-ste-marie(88485)
Warren Steinley,105581,warren-steinley(105581)
Don Stewart,67632,don-stewart(67632)
Jake Stewart,109951,jake-stewart(109951)
Mark Strahl,71986,mark-strahl(71986)
Shannon Stubbs,89198,shannon-stubbs(89198)
Jenna Sudds,110459,jenna-sudds(110459)
Filomena Tassi,88784,filomena-tassi(88784)
Leah Taylor Roy,105024,leah-taylor-roy(105024)
Luc Theriault,88552,luc-theriault(88552)
Alain Therrien,104783,alain-therrien(104783)
